Rank,Player,Pos,Team,ADP
1,Ja'Marr Chase,WR,CIN,1
2,Jahmyr Gibbs,RB,DET,2
3,Puka Nacua,WR,LAR,3
4,Bijan Robinson,RB,ATL,4
5,Jaxon Smith-Njigba,WR,SEA,5
6,Amon-Ra St. Brown,WR,DET,6
7,Justin Jefferson,WR,MIN,7
8,CeeDee Lamb,WR,DAL,8
9,Christian McCaffrey,RB,SF,9
10,Jonathan Taylor,RB,IND,10
11,Drake London,WR,ATL,11
12,Ashton Jeanty,RB,LV,12
13,Nico Collins,WR,HOU,13
14,A.J. Brown,WR,NE,14
15,Rashee Rice,WR,KC,15
16,Chase Brown,RB,CIN,16
17,Brock Bowers,TE,LV,17
18,George Pickens,WR,DAL,18
19,Trey McBride,TE,ARI,19
20,De'Von Achane,RB,MIA,20
21,James Cook III,RB,BUF,21
22,Omarion Hampton,RB,LAC,22
23,DeVonta Smith,WR,PHI,23
24,Chris Olave,WR,NO,24
25,Zay Flowers,WR,BAL,25
26,Josh Allen,QB,BUF,26
27,Saquon Barkley,RB,PHI,27
28,Kenneth Walker III,RB,KC,28
29,Lamar Jackson,QB,BAL,29
30,Jeremiyah Love,RB,ARI,30
31,Colston Loveland,TE,CHI,31
32,Jaylen Waddle,WR,DEN,32
33,Garrett Wilson,WR,NYJ,33
34,Tee Higgins,WR,CIN,34
35,Tetairoa McMillan,WR,CAR,35
36,Luther Burden III,WR,CHI,36
37,Ladd McConkey,WR,LAC,37
38,Derrick Henry,RB,BAL,38
39,Breece Hall,RB,NYJ,39
40,Terry McLaurin,WR,WAS,40
41,Kyren Williams,RB,LAR,41
42,Josh Jacobs,RB,GB,42
43,Jayden Daniels,QB,WAS,43
44,Malik Nabers,WR,NYG,44
45,Emeka Egbuka,WR,TB,45
46,Travis Etienne Jr.,RB,NO,46
47,Javonte Williams,RB,DAL,47
48,Drake Maye,QB,NE,48
49,Joe Burrow,QB,CIN,49
50,Christian Watson,WR,GB,50
51,Jameson Williams,WR,DET,51
52,Davante Adams,WR,LAR,52
53,Cam Skattebo,RB,NYG,53
54,Rome Odunze,WR,CHI,54
55,Mike Evans,WR,SF,55
56,Carnell Tate,WR,TEN,56
57,David Montgomery,RB,HOU,57
58,TreVeyon Henderson,RB,NE,58
59,Tyler Warren,TE,IND,59
60,DJ Moore,WR,BUF,60
61,Bhayshul Tuten,RB,JAC,61
62,Quinshon Judkins,RB,CLE,62
63,Bucky Irving,RB,TB,63
64,Tucker Kraft,TE,GB,64
65,D'Andre Swift,RB,CHI,65
66,Jalen Hurts,QB,PHI,66
67,Brian Thomas Jr.,WR,JAC,67
68,Marvin Harrison Jr.,WR,ARI,68
69,Caleb Williams,QB,CHI,69
70,Justin Herbert,QB,LAC,70
71,Jordyn Tyson,WR,NO,71
72,Alec Pierce,WR,IND,72
73,Chris Godwin Jr.,WR,TB,73
74,Jaylen Warren,RB,PIT,74
75,Rhamondre Stevenson,RB,NE,75
76,Parker Washington,WR,JAC,76
77,Dak Prescott,QB,DAL,77
78,Tony Pollard,RB,TEN,78
79,Trevor Lawrence,QB,JAC,79
80,Sam LaPorta,TE,DET,80
81,Chuba Hubbard,RB,CAR,81
82,Harold Fannin Jr.,TE,CLE,82
83,DK Metcalf,WR,PIT,83
84,Jaxson Dart,QB,NYG,84
85,Jadarian Price,RB,SEA,85
86,Makai Lemon,WR,PHI,86
87,Courtland Sutton,WR,DEN,87
88,RJ Harvey,RB,DEN,88
89,Kyle Pitts Sr.,TE,ATL,89
90,Quentin Johnston,WR,LAC,90
91,Rico Dowdle,RB,PIT,91
92,Kenny Gainwell,RB,TB,92
93,Michael Pittman Jr.,WR,PIT,93
94,Wan'Dale Robinson,WR,TEN,94
95,Michael Wilson,WR,ARI,95
96,Brock Purdy,QB,SF,96
97,J.K. Dobbins,RB,DEN,97
98,Kyle Monangai,RB,CHI,98
99,Blake Corum,RB,LAR,99
100,Jakobi Meyers,WR,JAC,100
101,Jayden Reed,WR,GB,101
102,Dalton Kincaid,TE,BUF,102
103,Josh Downs,WR,IND,103
104,Jordan Addison,WR,MIN,104
105,Ricky Pearsall,WR,SF,105
106,Bo Nix,QB,DEN,106
107,Kyler Murray,QB,MIN,107
108,Jacory Croskey-Merritt,RB,WAS,108
109,Aaron Jones Sr.,RB,MIN,109
110,Patrick Mahomes II,QB,KC,110
111,Rachaad White,RB,WAS,111
112,Jonathon Brooks,RB,CAR,112
113,Isaiah Likely,TE,NYG,113
114,KC Concepcion,WR,CLE,114
115,Travis Kelce,TE,KC,115
116,Dallas Goedert,TE,PHI,116
117,George Kittle,TE,SF,117
118,Xavier Worthy,WR,KC,118
119,Jake Ferguson,TE,DAL,119
120,Jalen Coker,WR,CAR,120
121,Matthew Stafford,QB,LAR,121
122,Jared Goff,QB,DET,122
123,Jordan Mason,RB,MIN,123
124,Tyler Shough,QB,NO,124
125,Jayden Higgins,WR,HOU,125
126,Tyrone Tracy Jr.,RB,NYG,126
127,Chig Okonkwo,TE,WAS,127
128,Khalil Shakir,WR,BUF,128
129,Jordan Love,QB,GB,129
130,Baker Mayfield,QB,TB,130
131,Matthew Golden,WR,GB,131
132,Romeo Doubs,WR,NE,132
133,Malik Willis,QB,MIA,133
134,Greg Dulcich,TE,MIA,134
135,Omar Cooper Jr.,WR,NYJ,135
136,Emanuel Wilson,RB,SEA,136
137,Tyler Allgeier,RB,ARI,137
138,C.J. Stroud,QB,HOU,138
139,Denzel Boston,WR,CLE,139
140,Kenyon Sadiq,TE,NYJ,140
141,Cam Ward,QB,TEN,141
142,Antonio Williams,WR,WAS,142
143,Isiah Pacheco,RB,DET,143
144,Brenton Strange,TE,JAC,144
145,Nicholas Singleton,RB,TEN,145
146,Jonah Coleman,RB,DEN,146
147,Bryce Young,QB,CAR,147
148,Zach Charbonnet,RB,SEA,148
149,Stefon Diggs,WR,FA,149
150,Jaylin Noel,WR,HOU,150
151,Houston Texans,DST,HOU,151
152,Brian Robinson Jr.,RB,ATL,152
153,Geno Smith,QB,NYJ,153
154,Germie Bernard,WR,PIT,154
155,Mark Andrews,TE,BAL,155
156,Tyjae Spears,RB,TEN,156
157,Alvin Kamara,RB,NO,157
158,Daniel Jones,QB,IND,158
159,Emmett Johnson,RB,KC,159
160,Seattle Seahawks,DST,SEA,160
161,Keaton Mitchell,RB,LAC,161
162,Rashid Shaheed,WR,SEA,162
163,MarShawn Lloyd,RB,GB,163
164,Jerry Jeudy,WR,CLE,164
165,Travis Hunter,WR,JAC,165
166,Los Angeles Rams,DST,LAR,166
167,Jalen McMillan,WR,TB,167
168,Kaytron Allen,RB,WAS,168
169,Chris Bell,WR,MIA,169
170,Los Angeles Chargers,DST,LAC,170
171,Philadelphia Eagles,DST,PHI,171
172,AJ Barner,TE,SEA,172
173,Darnell Mooney,WR,NYG,173
174,Tank Bigsby,RB,PHI,174
175,Elijah Sarratt,WR,BAL,175
176,Chris Brooks,RB,GB,176
177,Ted Hurst III,WR,TB,177
178,Sam Darnold,QB,SEA,178
179,Jauan Jennings,WR,MIN,179
180,Hunter Henry,TE,NE,180
181,Sean Tucker,RB,TB,181
182,Denver Broncos,DST,DEN,182
183,Tre Tucker,WR,LV,183
184,Detroit Lions,DST,DET,184
185,Baltimore Ravens,DST,BAL,185
186,Brandon Aubrey,K,DAL,186
187,Minnesota Vikings,DST,MIN,187
188,Jordan James,RB,SF,188
189,Kansas City Chiefs,DST,KC,189
190,Jacksonville Jaguars,DST,JAC,190
191,Ka'imi Fairbairn,K,HOU,191
192,Cam Little,K,JAC,192
193,Pittsburgh Steelers,DST,PIT,193
194,Isaac TeSlaa,WR,DET,194
195,T.J. Hockenson,TE,MIN,195
196,Tre' Harris,WR,LAC,196
197,Cameron Dicker,K,LAC,197
198,De'Zhaun Stribling,WR,SF,198
199,Evan McPherson,K,CIN,199
200,Braelon Allen,RB,NYJ,200
201,Brandon Aiyuk,WR,SF,201
202,Dalton Schultz,TE,HOU,202
203,Jason Myers,K,SEA,203
204,Malachi Fields,WR,NYG,204
205,New England Patriots,DST,NE,205
206,Andy Borregales,K,NE,206
207,Kayshon Boutte,WR,NE,207
