Rank,Player,Pos,Team,ADP
1,Bijan Robinson,RB,ATL,1
2,Jahmyr Gibbs,RB,DET,2
3,Ja'Marr Chase,WR,CIN,3
4,Jaxon Smith-Njigba,WR,SEA,4
5,Puka Nacua,WR,LAR,5
6,Jonathan Taylor,RB,IND,6
7,Christian McCaffrey,RB,SF,7
8,CeeDee Lamb,WR,DAL,8
9,Amon-Ra St. Brown,WR,DET,9
10,James Cook III,RB,BUF,10
11,Ashton Jeanty,RB,LV,11
12,Justin Jefferson,WR,MIN,12
13,Chase Brown,RB,CIN,13
14,De'Von Achane,RB,MIA,14
15,Omarion Hampton,RB,LAC,15
16,Saquon Barkley,RB,PHI,16
17,Jeremiyah Love,RB,ARI,17
18,Kenneth Walker III,RB,KC,18
19,Drake London,WR,ATL,19
20,Brock Bowers,TE,LV,20
21,Nico Collins,WR,HOU,21
22,George Pickens,WR,DAL,22
23,Derrick Henry,RB,BAL,23
24,DeVonta Smith,WR,PHI,24
25,A.J. Brown,WR,NE,25
26,Trey McBride,TE,ARI,26
27,Josh Allen,QB,BUF,27
28,Chris Olave,WR,NO,28
29,Rashee Rice,WR,KC,29
30,Kyren Williams,RB,LAR,30
31,Cam Skattebo,RB,NYG,31
32,Javonte Williams,RB,DAL,32
33,Travis Etienne Jr.,RB,NO,33
34,Tetairoa McMillan,WR,CAR,34
35,Zay Flowers,WR,BAL,35
36,Tee Higgins,WR,CIN,36
37,Luther Burden III,WR,CHI,37
38,Garrett Wilson,WR,NYJ,38
39,Ladd McConkey,WR,LAC,39
40,Breece Hall,RB,NYJ,40
41,Terry McLaurin,WR,WAS,41
42,Jaylen Waddle,WR,DEN,42
43,D'Andre Swift,RB,CHI,43
44,Colston Loveland,TE,CHI,44
45,Josh Jacobs,RB,GB,45
46,Lamar Jackson,QB,BAL,46
47,Christian Watson,WR,GB,47
48,David Montgomery,RB,HOU,48
49,Quinshon Judkins,RB,CLE,49
50,Malik Nabers,WR,NYG,50
51,TreVeyon Henderson,RB,NE,51
52,Carnell Tate,WR,TEN,52
53,Bhayshul Tuten,RB,JAC,53
54,Emeka Egbuka,WR,TB,54
55,Davante Adams,WR,LAR,55
56,Jameson Williams,WR,DET,56
57,Chuba Hubbard,RB,CAR,57
58,Jadarian Price,RB,SEA,58
59,DJ Moore,WR,BUF,59
