Rank,Player,Pos,Team,ADP
1,Ja'Marr Chase,WR,CIN,1
2,Jahmyr Gibbs,RB,DET,2
3,Puka Nacua,WR,LAR,3
4,Bijan Robinson,RB,ATL,4
5,Jaxon Smith-Njigba,WR,SEA,5
6,Amon-Ra St. Brown,WR,DET,6
7,Christian McCaffrey,RB,SF,7
8,CeeDee Lamb,WR,DAL,8
9,Justin Jefferson,WR,MIN,9
10,A.J. Brown,WR,NE,10
11,Drake London,WR,ATL,11
12,Jonathan Taylor,RB,IND,12
13,Nico Collins,WR,HOU,13
14,George Pickens,WR,DAL,14
15,Chris Olave,WR,NO,15
16,Trey McBride,TE,ARI,16
17,Chase Brown,RB,CIN,17
18,James Cook III,RB,BUF,18
19,Brock Bowers,TE,LV,19
20,Malik Nabers,WR,NYG,20
21,Ashton Jeanty,RB,LV,21
22,De'Von Achane,RB,MIA,22
23,DeVonta Smith,WR,PHI,23
24,Omarion Hampton,RB,LAC,24
25,Josh Allen,QB,BUF,25
26,Rashee Rice,WR,KC,26
27,Kenneth Walker III,RB,KC,27
28,Lamar Jackson,QB,BAL,28
29,Zay Flowers,WR,BAL,29
30,Saquon Barkley,RB,PHI,30
31,Garrett Wilson,WR,NYJ,31
32,Jaylen Waddle,WR,DEN,32
33,Tetairoa McMillan,WR,CAR,33
34,Drake Maye,QB,NE,34
35,Ladd McConkey,WR,LAC,35
36,Colston Loveland,TE,CHI,36
37,Tee Higgins,WR,CIN,37
38,Derrick Henry,RB,BAL,38
39,Breece Hall,RB,NYJ,39
40,Kyren Williams,RB,LAR,40
41,Luther Burden III,WR,CHI,41
42,Emeka Egbuka,WR,TB,42
43,Javonte Williams,RB,DAL,43
44,Travis Etienne Jr.,RB,NO,44
45,Jameson Williams,WR,DET,45
46,Jeremiyah Love,RB,ARI,46
47,Joe Burrow,QB,CIN,47
48,D'Andre Swift,RB,CHI,48
49,Terry McLaurin,WR,WAS,49
50,Davante Adams,WR,LAR,50
51,Tyler Warren,TE,IND,51
52,Parker Washington,WR,JAC,52
53,DJ Moore,WR,BUF,53
54,Josh Jacobs,RB,GB,54
55,Jalen Hurts,QB,PHI,55
56,Jayden Daniels,QB,WAS,56
57,Christian Watson,WR,GB,57
58,Mike Evans,WR,SF,58
59,Bucky Irving,RB,TB,59
60,Rome Odunze,WR,CHI,60
61,Cam Skattebo,RB,NYG,61
62,Carnell Tate,WR,TEN,62
63,David Montgomery,RB,HOU,63
64,Caleb Williams,QB,CHI,64
65,Bhayshul Tuten,RB,JAC,65
66,Quinshon Judkins,RB,CLE,66
67,Marvin Harrison Jr.,WR,ARI,67
68,Dak Prescott,QB,DAL,68
69,Harold Fannin Jr.,TE,CLE,69
70,Jadarian Price,RB,SEA,70
71,Chris Godwin Jr.,WR,TB,71
72,Justin Herbert,QB,LAC,72
73,Trevor Lawrence,QB,JAC,73
74,TreVeyon Henderson,RB,NE,74
75,Michael Pittman Jr.,WR,PIT,75
76,Rhamondre Stevenson,RB,NE,76
77,Kyle Pitts Sr.,TE,ATL,77
78,Brian Thomas Jr.,WR,JAC,78
79,DK Metcalf,WR,PIT,79
80,Jonathon Brooks,RB,CAR,80
81,Jaylen Warren,RB,PIT,81
82,Wan'Dale Robinson,WR,TEN,82
83,Courtland Sutton,WR,DEN,83
84,Tucker Kraft,TE,GB,84
85,Michael Wilson,WR,ARI,85
86,Quentin Johnston,WR,LAC,86
87,Stefon Diggs,WR,WAS,87
88,Sam LaPorta,TE,DET,88
89,Rico Dowdle,RB,PIT,89
90,Tony Pollard,RB,TEN,90
91,J.K. Dobbins,RB,DEN,91
92,Jaxson Dart,QB,NYG,92
93,RJ Harvey,RB,DEN,93
94,Josh Downs,WR,IND,94
95,Jacory Croskey-Merritt,RB,WAS,95
96,Bo Nix,QB,DEN,96
97,Brock Purdy,QB,SF,97
98,Jordan Addison,WR,MIN,98
99,Kenny Gainwell,RB,TB,99
100,George Kittle,TE,SF,100
101,Travis Kelce,TE,KC,101
102,Alec Pierce,WR,IND,102
103,Jayden Reed,WR,GB,103
104,Dalton Kincaid,TE,BUF,104
105,Chuba Hubbard,RB,CAR,105
106,Jordan Mason,RB,MIN,106
107,Makai Lemon,WR,PHI,107
108,Kyler Murray,QB,MIN,108
109,Jared Goff,QB,DET,109
110,Patrick Mahomes II,QB,KC,110
111,Matthew Stafford,QB,LAR,111
112,Jordan Love,QB,GB,112
113,Jakobi Meyers,WR,JAC,113
114,Juwan Johnson,TE,NO,114
115,Blake Corum,RB,LAR,115
116,KC Concepcion,WR,CLE,116
117,Dallas Goedert,TE,PHI,117
118,Rachaad White,RB,WAS,118
119,Jalen Coker,WR,CAR,119
120,Khalil Shakir,WR,BUF,120
121,Kyle Monangai,RB,CHI,121
122,Tyler Shough,QB,NO,122
123,Baker Mayfield,QB,TB,123
124,Isaiah Likely,TE,NYG,124
125,Jake Ferguson,TE,DAL,125
126,De'Zhaun Stribling,WR,SF,126
127,Romeo Doubs,WR,NE,127
128,Tyjae Spears,RB,TEN,128
129,Matthew Golden,WR,GB,129
130,Xavier Worthy,WR,KC,130
131,Malik Willis,QB,MIA,131
132,Tyler Allgeier,RB,ARI,132
133,Deebo Samuel Sr.,WR,SF,133
134,Jordyn Tyson,WR,NO,134
135,Chris Rodriguez Jr.,RB,JAC,135
136,Aaron Jones Sr.,RB,MIN,136
137,Rashid Shaheed,WR,SEA,137
138,Woody Marks,RB,HOU,138
139,Sam Darnold,QB,SEA,139
140,C.J. Stroud,QB,HOU,140
141,Daniel Jones,QB,IND,141
142,Dylan Sampson,RB,CLE,142
143,Mark Andrews,TE,BAL,143
144,Keaton Mitchell,RB,LAC,144
145,Zach Charbonnet,RB,SEA,145
146,Tyrone Tracy Jr.,RB,NYG,146
147,Jonah Coleman,RB,DEN,147
148,Houston Texans,DST,HOU,148
149,MarShawn Lloyd,RB,GB,149
150,Cam Ward,QB,TEN,150
151,Brenton Strange,TE,JAC,151
152,Denzel Boston,WR,CLE,152
153,Tre Tucker,WR,LV,153
154,Chig Okonkwo,TE,WAS,154
155,Malik Washington,WR,MIA,155
156,Bryce Young,QB,CAR,156
157,Mike Washington Jr.,RB,LV,157
158,Denver Broncos,DST,DEN,158
159,Dalton Schultz,TE,HOU,159
160,Omar Cooper Jr.,WR,NYJ,160
161,Hunter Henry,TE,NE,161
162,Brian Robinson Jr.,RB,ATL,162
163,Seattle Seahawks,DST,SEA,163
164,Los Angeles Rams,DST,LAR,164
165,Tank Bigsby,RB,PHI,165
166,Jerry Jeudy,WR,CLE,166
167,Philadelphia Eagles,DST,PHI,167
168,Dontayvion Wicks,WR,PHI,168
169,Kimani Vidal,RB,LAC,169
170,Jauan Jennings,WR,MIN,170
171,Isiah Pacheco,RB,DET,171
172,Kayshon Boutte,WR,HOU,172
173,Alvin Kamara,RB,NO,173
174,Ryan Flournoy,WR,DAL,174
175,Travis Hunter,WR,JAC,175
176,Pat Bryant,WR,DEN,176
177,New England Patriots,DST,NE,177
178,Pittsburgh Steelers,DST,PIT,178
179,Minnesota Vikings,DST,MIN,179
180,T.J. Hockenson,TE,MIN,180
181,Jacksonville Jaguars,DST,JAC,181
182,Brandon Aubrey,K,DAL,182
183,Jalen Nailor,WR,LV,183
184,Los Angeles Chargers,DST,LAC,184
185,Adonai Mitchell,WR,NYJ,185
186,Calvin Ridley,WR,TEN,186
187,Braelon Allen,RB,NYJ,187
188,Ka'imi Fairbairn,K,HOU,188
189,Cameron Dicker,K,LAC,189
190,Baltimore Ravens,DST,BAL,190
191,Geno Smith,QB,NYJ,191
192,Tre' Harris,WR,LAC,192
193,Cam Little,K,JAC,193
194,Emmett Johnson,RB,KC,194
195,Jason Myers,K,SEA,195
196,Green Bay Packers,DST,GB,196
197,Jacoby Brissett,QB,ARI,197
198,Tyler Loop,K,BAL,198
199,Kansas City Chiefs,DST,KC,199
200,Keenan Allen,WR,IND,200
201,Tank Dell,WR,HOU,201
202,Jalen McMillan,WR,TB,202
203,Ray Davis,RB,BUF,203
204,Eddy Pineiro,K,SF,204
205,Terrance Ferguson,TE,LAR,205
206,Evan McPherson,K,CIN,206
