Rank,Player,Pos,Team,ADP
1,Jahmyr Gibbs,RB,DET,1
2,Ja'Marr Chase,WR,CIN,2
3,Bijan Robinson,RB,ATL,3
4,Puka Nacua,WR,LAR,4
5,Amon-Ra St. Brown,WR,DET,5
6,Jaxon Smith-Njigba,WR,SEA,6
7,CeeDee Lamb,WR,DAL,7
8,Justin Jefferson,WR,MIN,8
9,Jonathan Taylor,RB,IND,9
10,Christian McCaffrey,RB,SF,10
11,Ashton Jeanty,RB,LV,11
12,Drake London,WR,ATL,12
13,Brock Bowers,TE,LV,13
14,Rashee Rice,WR,KC,14
15,Nico Collins,WR,HOU,15
16,George Pickens,WR,DAL,16
17,Chase Brown,RB,CIN,17
18,Saquon Barkley,RB,PHI,18
19,A.J. Brown,WR,NE,19
20,De'Von Achane,RB,MIA,20
21,Omarion Hampton,RB,LAC,21
22,James Cook III,RB,BUF,22
23,DeVonta Smith,WR,PHI,23
24,Jaylen Waddle,WR,DEN,24
25,Trey McBride,TE,ARI,25
26,Chris Olave,WR,NO,26
27,Josh Allen,QB,BUF,27
28,Kenneth Walker III,RB,KC,28
29,Tetairoa McMillan,WR,CAR,29
30,Tee Higgins,WR,CIN,30
31,Jeremiyah Love,RB,ARI,31
32,Colston Loveland,TE,CHI,32
33,Zay Flowers,WR,BAL,33
34,Lamar Jackson,QB,BAL,34
35,Derrick Henry,RB,BAL,35
36,Garrett Wilson,WR,NYJ,36
37,Josh Jacobs,RB,GB,37
38,Breece Hall,RB,NYJ,38
39,Kyren Williams,RB,LAR,39
40,Luther Burden III,WR,CHI,40
41,Malik Nabers,WR,NYG,41
42,Terry McLaurin,WR,WAS,42
43,Ladd McConkey,WR,LAC,43
44,Javonte Williams,RB,DAL,44
45,Travis Etienne Jr.,RB,NO,45
46,Drake Maye,QB,NE,46
47,Jameson Williams,WR,DET,47
48,Emeka Egbuka,WR,TB,48
49,Christian Watson,WR,GB,49
50,Cam Skattebo,RB,NYG,50
51,Joe Burrow,QB,CIN,51
52,Carnell Tate,WR,TEN,52
53,TreVeyon Henderson,RB,NE,53
54,Davante Adams,WR,LAR,54
55,Rome Odunze,WR,CHI,55
56,Bucky Irving,RB,TB,56
57,DJ Moore,WR,BUF,57
58,Quinshon Judkins,RB,CLE,58
59,Jayden Daniels,QB,WAS,59
60,Bhayshul Tuten,RB,JAC,60
61,D'Andre Swift,RB,CHI,61
62,David Montgomery,RB,HOU,62
63,Mike Evans,WR,SF,63
64,Tucker Kraft,TE,GB,64
65,Tyler Warren,TE,IND,65
66,Jalen Hurts,QB,PHI,66
67,Brian Thomas Jr.,WR,JAC,67
68,Marvin Harrison Jr.,WR,ARI,68
69,Caleb Williams,QB,CHI,69
70,Justin Herbert,QB,LAC,70
71,Alec Pierce,WR,IND,71
72,DK Metcalf,WR,PIT,72
73,Jordyn Tyson,WR,NO,73
74,J.K. Dobbins,RB,DEN,74
75,Chuba Hubbard,RB,CAR,75
76,Rhamondre Stevenson,RB,NE,76
77,Chris Godwin Jr.,WR,TB,77
78,Parker Washington,WR,JAC,78
79,Trevor Lawrence,QB,JAC,79
80,Makai Lemon,WR,PHI,80
81,Harold Fannin Jr.,TE,CLE,81
82,Tony Pollard,RB,TEN,82
83,Jaxson Dart,QB,NYG,83
84,Jaylen Warren,RB,PIT,84
85,Courtland Sutton,WR,DEN,85
86,Kyle Pitts Sr.,TE,ATL,86
87,Rico Dowdle,RB,PIT,87
88,Sam LaPorta,TE,DET,88
89,Dak Prescott,QB,DAL,89
90,Jordan Addison,WR,MIN,90
91,Wan'Dale Robinson,WR,TEN,91
92,RJ Harvey,RB,DEN,92
93,Kenny Gainwell,RB,TB,93
94,Quentin Johnston,WR,LAC,94
95,Brock Purdy,QB,SF,95
96,Jadarian Price,RB,SEA,96
97,Michael Pittman Jr.,WR,PIT,97
98,Aaron Jones Sr.,RB,MIN,98
99,Jacory Croskey-Merritt,RB,WAS,99
100,Michael Wilson,WR,ARI,100
101,Kyle Monangai,RB,CHI,101
102,Jayden Reed,WR,GB,102
103,Jakobi Meyers,WR,JAC,103
104,Ricky Pearsall,WR,SF,104
105,KC Concepcion,WR,CLE,105
106,Bo Nix,QB,DEN,106
107,Blake Corum,RB,LAR,107
108,Dalton Kincaid,TE,BUF,108
109,Isaiah Likely,TE,NYG,109
110,Chig Okonkwo,TE,WAS,110
111,Patrick Mahomes II,QB,KC,111
112,Josh Downs,WR,IND,112
113,Kyler Murray,QB,MIN,113
114,Travis Kelce,TE,KC,114
115,Rachaad White,RB,WAS,115
116,Jonathon Brooks,RB,CAR,116
117,Xavier Worthy,WR,KC,117
118,Jalen Coker,WR,CAR,118
119,Jordan Mason,RB,MIN,119
120,Jake Ferguson,TE,DAL,120
121,Jayden Higgins,WR,HOU,121
122,Dallas Goedert,TE,PHI,122
123,George Kittle,TE,SF,123
124,Matthew Stafford,QB,LAR,124
125,Jared Goff,QB,DET,125
126,Alvin Kamara,RB,NO,126
127,Tyrone Tracy Jr.,RB,NYG,127
128,Jordan Love,QB,GB,128
129,Khalil Shakir,WR,BUF,129
130,Jalen McMillan,WR,TB,130
131,Romeo Doubs,WR,NE,131
132,Matthew Golden,WR,GB,132
133,Tyler Shough,QB,NO,133
134,Baker Mayfield,QB,TB,134
135,Malik Willis,QB,MIA,135
136,Greg Dulcich,TE,MIA,136
137,Omar Cooper Jr.,WR,NYJ,137
138,Emanuel Wilson,RB,SEA,138
139,Tyler Allgeier,RB,ARI,139
140,C.J. Stroud,QB,HOU,140
141,Denzel Boston,WR,CLE,141
142,Kenyon Sadiq,TE,NYJ,142
143,Cam Ward,QB,TEN,143
144,Antonio Williams,WR,WAS,144
145,Isiah Pacheco,RB,DET,145
146,Brenton Strange,TE,JAC,146
