Rank,Player,Pos,Team,ADP
1,Ja'Marr Chase,WR,CIN,1
2,Jahmyr Gibbs,RB,DET,2
3,Puka Nacua,WR,LAR,3
4,Bijan Robinson,RB,ATL,4
5,Jaxon Smith-Njigba,WR,SEA,5
6,Justin Jefferson,WR,MIN,6
7,Amon-Ra St. Brown,WR,DET,7
8,Jonathan Taylor,RB,IND,8
9,CeeDee Lamb,WR,DAL,9
10,Christian McCaffrey,RB,SF,10
11,Drake London,WR,ATL,11
12,Nico Collins,WR,HOU,12
13,A.J. Brown,WR,NE,13
14,George Pickens,WR,DAL,14
15,Ashton Jeanty,RB,LV,15
16,Rashee Rice,WR,KC,16
17,Chase Brown,RB,CIN,17
18,Trey McBride,TE,ARI,18
19,Brock Bowers,TE,LV,19
20,De'Von Achane,RB,MIA,20
21,Chris Olave,WR,NO,21
22,Omarion Hampton,RB,LAC,22
23,Saquon Barkley,RB,PHI,23
24,Josh Allen,QB,BUF,24
25,Zay Flowers,WR,BAL,25
26,Tetairoa McMillan,WR,CAR,26
27,James Cook III,RB,BUF,27
28,Lamar Jackson,QB,BAL,28
29,DeVonta Smith,WR,PHI,29
30,Jaylen Waddle,WR,DEN,30
31,Kenneth Walker III,RB,KC,31
32,Garrett Wilson,WR,NYJ,32
33,Colston Loveland,TE,CHI,33
34,Tee Higgins,WR,CIN,34
35,Jeremiyah Love,RB,ARI,35
36,Ladd McConkey,WR,LAC,36
37,Joe Burrow,QB,CIN,37
38,Terry McLaurin,WR,WAS,38
39,Derrick Henry,RB,BAL,39
40,Jayden Daniels,QB,WAS,40
41,Drake Maye,QB,NE,41
42,Luther Burden III,WR,CHI,42
43,Josh Jacobs,RB,GB,43
44,Breece Hall,RB,NYJ,44
45,Kyren Williams,RB,LAR,45
46,Emeka Egbuka,WR,TB,46
47,Jameson Williams,WR,DET,47
48,Carnell Tate,WR,TEN,48
49,Malik Nabers,WR,NYG,49
50,Travis Etienne Jr.,RB,NO,50
51,Javonte Williams,RB,DAL,51
52,Davante Adams,WR,LAR,52
53,Rome Odunze,WR,CHI,53
54,Christian Watson,WR,GB,54
55,Mike Evans,WR,SF,55
56,Bucky Irving,RB,TB,56
57,Cam Skattebo,RB,NYG,57
58,DJ Moore,WR,BUF,58
59,TreVeyon Henderson,RB,NE,59
60,Tucker Kraft,TE,GB,60
61,Tyler Warren,TE,IND,61
62,Bhayshul Tuten,RB,JAC,62
63,Quinshon Judkins,RB,CLE,63
64,David Montgomery,RB,HOU,64
65,Marvin Harrison Jr.,WR,ARI,65
66,Jalen Hurts,QB,PHI,66
67,Justin Herbert,QB,LAC,67
68,Alec Pierce,WR,IND,68
69,Brian Thomas Jr.,WR,JAC,69
70,Jaxson Dart,QB,NYG,70
71,Caleb Williams,QB,CHI,71
72,D'Andre Swift,RB,CHI,72
73,Dak Prescott,QB,DAL,73
74,Chuba Hubbard,RB,CAR,74
75,Harold Fannin Jr.,TE,CLE,75
76,Jordyn Tyson,WR,NO,76
77,Chris Godwin Jr.,WR,TB,77
78,Sam LaPorta,TE,DET,78
79,Tony Pollard,RB,TEN,79
80,Rhamondre Stevenson,RB,NE,80
81,Wan'Dale Robinson,WR,TEN,81
82,Jaylen Warren,RB,PIT,82
83,Courtland Sutton,WR,DEN,83
84,Trevor Lawrence,QB,JAC,84
85,Michael Pittman Jr.,WR,PIT,85
86,Kyle Pitts Sr.,TE,ATL,86
87,RJ Harvey,RB,DEN,87
88,DK Metcalf,WR,PIT,88
89,J.K. Dobbins,RB,DEN,89
90,Michael Wilson,WR,ARI,90
91,Rico Dowdle,RB,PIT,91
92,Parker Washington,WR,JAC,92
93,Makai Lemon,WR,PHI,93
94,Jordan Addison,WR,MIN,94
95,Jakobi Meyers,WR,JAC,95
96,Kenny Gainwell,RB,TB,96
97,Jadarian Price,RB,SEA,97
98,Brock Purdy,QB,SF,98
99,Aaron Jones Sr.,RB,MIN,99
100,Quentin Johnston,WR,LAC,100
101,Isaiah Likely,TE,NYG,101
102,Jake Ferguson,TE,DAL,102
103,Kyle Monangai,RB,CHI,103
104,Bo Nix,QB,DEN,104
105,Dalton Kincaid,TE,BUF,105
106,Jacory Croskey-Merritt,RB,WAS,106
107,Patrick Mahomes II,QB,KC,107
108,Ricky Pearsall,WR,SF,108
109,Kyler Murray,QB,MIN,109
110,Blake Corum,RB,LAR,110
111,Matthew Stafford,QB,LAR,111
112,Jared Goff,QB,DET,112
113,KC Concepcion,WR,CLE,113
114,Tyler Shough,QB,NO,114
115,Rachaad White,RB,WAS,115
116,Josh Downs,WR,IND,116
117,Jordan Love,QB,GB,117
118,Dallas Goedert,TE,PHI,118
119,Travis Kelce,TE,KC,119
120,Jayden Reed,WR,GB,120
121,Khalil Shakir,WR,BUF,121
122,Jordan Mason,RB,MIN,122
123,Jayden Higgins,WR,HOU,123
124,Baker Mayfield,QB,TB,124
125,Xavier Worthy,WR,KC,125
126,Malik Willis,QB,MIA,126
127,Chig Okonkwo,TE,WAS,127
128,Jalen Coker,WR,CAR,128
129,Woody Marks,RB,HOU,129
130,Tyrone Tracy Jr.,RB,NYG,130
131,Romeo Doubs,WR,NE,131
132,C.J. Stroud,QB,HOU,132
133,Jonathon Brooks,RB,CAR,133
134,George Kittle,TE,SF,134
135,Greg Dulcich,TE,MIA,135
136,Omar Cooper Jr.,WR,NYJ,136
137,Emanuel Wilson,RB,SEA,137
138,Tyler Allgeier,RB,ARI,138
139,Denzel Boston,WR,CLE,139
140,Matthew Golden,WR,GB,140
141,Kenyon Sadiq,TE,NYJ,141
142,Cam Ward,QB,TEN,142
143,Antonio Williams,WR,WAS,143
144,Isiah Pacheco,RB,DET,144
145,Brenton Strange,TE,JAC,145
146,Nicholas Singleton,RB,TEN,146
147,Jonah Coleman,RB,DEN,147
148,Bryce Young,QB,CAR,148
149,Zach Charbonnet,RB,SEA,149
150,Stefon Diggs,WR,FA,150
151,Jaylin Noel,WR,HOU,151
152,Houston Texans,DST,HOU,152
153,Brian Robinson Jr.,RB,ATL,153
154,Geno Smith,QB,NYJ,154
155,Germie Bernard,WR,PIT,155
156,Mark Andrews,TE,BAL,156
157,Tyjae Spears,RB,TEN,157
158,Alvin Kamara,RB,NO,158
159,Daniel Jones,QB,IND,159
160,Emmett Johnson,RB,KC,160
161,Seattle Seahawks,DST,SEA,161
162,Keaton Mitchell,RB,LAC,162
163,Rashid Shaheed,WR,SEA,163
164,MarShawn Lloyd,RB,GB,164
165,Jerry Jeudy,WR,CLE,165
166,Travis Hunter,WR,JAC,166
167,Los Angeles Rams,DST,LAR,167
168,Jalen McMillan,WR,TB,168
169,Kaytron Allen,RB,WAS,169
170,Chris Bell,WR,MIA,170
171,Los Angeles Chargers,DST,LAC,171
172,Philadelphia Eagles,DST,PHI,172
173,AJ Barner,TE,SEA,173
174,Darnell Mooney,WR,NYG,174
175,Tank Bigsby,RB,PHI,175
176,Elijah Sarratt,WR,BAL,176
177,Chris Brooks,RB,GB,177
178,Ted Hurst III,WR,TB,178
179,Sam Darnold,QB,SEA,179
180,Jauan Jennings,WR,MIN,180
181,Hunter Henry,TE,NE,181
182,Sean Tucker,RB,TB,182
183,Denver Broncos,DST,DEN,183
184,Tre Tucker,WR,LV,184
185,Detroit Lions,DST,DET,185
186,Baltimore Ravens,DST,BAL,186
187,Brandon Aubrey,K,DAL,187
188,Minnesota Vikings,DST,MIN,188
189,Jordan James,RB,SF,189
190,Kansas City Chiefs,DST,KC,190
191,Jacksonville Jaguars,DST,JAC,191
192,Ka'imi Fairbairn,K,HOU,192
193,Cam Little,K,JAC,193
194,Pittsburgh Steelers,DST,PIT,194
195,Isaac TeSlaa,WR,DET,195
196,T.J. Hockenson,TE,MIN,196
197,Tre' Harris,WR,LAC,197
198,Cameron Dicker,K,LAC,198
199,De'Zhaun Stribling,WR,SF,199
200,Evan McPherson,K,CIN,200
201,Braelon Allen,RB,NYJ,201
202,Brandon Aiyuk,WR,SF,202
203,Dalton Schultz,TE,HOU,203
204,Jason Myers,K,SEA,204
205,Malachi Fields,WR,NYG,205
206,New England Patriots,DST,NE,206
207,Andy Borregales,K,NE,207
