Rank,Player,Pos,Team,ADP
1,Jahmyr Gibbs,RB,FA,1.2
2,Bijan Robinson,RB,FA,1.9
3,Ja'Marr Chase,WR,FA,3.1
4,Puka Nacua,WR,FA,4
5,Jaxon Smith-Njigba,WR,FA,5.2
6,Jonathan Taylor,RB,FA,6.8
7,Christian McCaffrey,RB,FA,7.1
8,Amon-Ra St. Brown,WR,FA,7.6
9,CeeDee Lamb,WR,FA,9.5
10,Justin Jefferson,WR,FA,9.8
11,Ashton Jeanty,RB,FA,11.2
12,James Cook,RB,FA,11.8
13,Saquon Barkley,RB,FA,13.6
14,Omarion Hampton,RB,FA,15
15,De'Von Achane,RB,FA,16
16,Kenneth Walker III,RB,FA,16.2
17,Chase Brown,RB,FA,17.1
18,Derrick Henry,RB,FA,17.6
19,Drake London,WR,FA,18.7
20,A.J. Brown,WR,FA,19.8
21,Brock Bowers,TE,FA,20.4
22,Nico Collins,WR,FA,22.2
23,George Pickens,WR,FA,23.2
24,Jeremiyah Love,RB,FA,24.2
25,Trey McBride,TE,FA,26.8
26,Breece Hall,RB,FA,27.1
27,DeVonta Smith,WR,FA,27.6
28,Rashee Rice,WR,FA,28
29,Chris Olave,WR,FA,29.1
30,Travis Etienne Jr.,RB,FA,29.9
31,Malik Nabers,WR,FA,32
32,Kyren Williams,RB,FA,32.1
33,Zay Flowers,WR,FA,32.4
34,Josh Allen,QB,FA,34.2
35,Tee Higgins,WR,FA,34.5
36,Javonte Williams,RB,FA,35.7
37,Ladd McConkey,WR,FA,37
38,Tetairoa McMillan,WR,FA,38.3
39,Garrett Wilson,WR,FA,38.7
40,Emeka Egbuka,WR,FA,39
41,Josh Jacobs,RB,FA,40.6
42,Luther Burden,WR,FA,42.3
43,Cam Skattebo,RB,FA,43.6
44,Mike Evans,WR,FA,44.2
45,Terry McLaurin,WR,FA,44.9
46,Colston Loveland,TE,FA,46
47,Jaylen Waddle,WR,FA,47.2
48,Jameson Williams,WR,FA,48.7
49,David Montgomery,RB,FA,49.3
50,Davante Adams,WR,FA,50.3
51,TreVeyon Henderson,RB,FA,51.3
52,D'Andre Swift,RB,FA,51.6
53,Bucky Irving,RB,FA,53.8
54,Quinshon Judkins,RB,FA,54.4
55,D.J. Moore,WR,FA,55.8
56,Bhayshul Tuten,RB,FA,55.9
57,Lamar Jackson,QB,FA,56.3
58,Christian Watson,WR,FA,57.1
59,Rome Odunze,WR,FA,58.7
60,Carnell Tate,WR,FA,59.5
61,Jadarian Price,RB,FA,61.1
62,Brian Thomas,WR,FA,61.5
63,Jordyn Tyson,WR,FA,63.6
64,Tyler Warren,TE,FA,64.8
65,Joe Burrow,QB,FA,65.7
66,Jayden Daniels,QB,FA,67.1
67,Marvin Harrison,WR,FA,67.8
68,Drake Maye,QB,FA,68.2
